epoch,accuracy,loss,val_accuracy,val_loss
0,0.8391449451446533,0.6668088436126709,0.582775890827179,0.8272019028663635
1,0.903630256652832,0.4321381449699402,0.9757525324821472,0.31999948620796204
2,0.9193933606147766,0.3499578833580017,0.9903846383094788,0.19676391780376434
3,0.9306185841560364,0.31486934423446655,0.9945651888847351,0.17159441113471985
4,0.9319321513175964,0.2999361455440521,0.9937291145324707,0.15775147080421448
5,0.9367088675498962,0.2841964066028595,0.9962374567985535,0.14052332937717438
6,0.9393360614776611,0.2717718780040741,0.9920568466186523,0.1388547420501709
7,0.9418438076972961,0.2577510476112366,0.9941471815109253,0.13326257467269897
8,0.9433962106704712,0.2573106586933136,0.9949832558631897,0.13729317486286163
9,0.9468593001365662,0.24058406054973602,0.9966555237770081,0.1205025464296341
10,0.9466204643249512,0.23280036449432373,0.9966555237770081,0.11675617098808289
11,0.950919508934021,0.225871741771698,0.9928929805755615,0.12139546871185303
12,0.9537855386734009,0.22761943936347961,0.9924749135971069,0.1232319325208664
13,0.9496059417724609,0.2192721664905548,0.9966555237770081,0.11029481142759323
14,0.9485311508178711,0.21927648782730103,0.9941471815109253,0.11340192705392838
15,0.9547408819198608,0.2049434632062912,0.9970735907554626,0.0978144034743309
16,0.949486494064331,0.21711377799510956,0.9945651888847351,0.1010175347328186
17,0.9515166282653809,0.21034975349903107,0.9920568466186523,0.10475572198629379
18,0.9545020461082458,0.19850946962833405,0.9958193898200989,0.10418535023927689
