epoch,accuracy,loss,val_accuracy,val_loss
0,0.9492476582527161,2.152014970779419,0.9878762364387512,1.7545822858810425
1,0.9813709259033203,1.4921343326568604,0.9941471815109253,1.2205708026885986
2,0.9866252541542053,1.0558199882507324,0.9949832558631897,0.8657560348510742
3,0.9885359406471252,0.760793149471283,0.9979097247123718,0.6168217062950134
4,0.9877000451087952,0.5561739802360535,0.9983277320861816,0.4553999900817871
5,0.9887747764587402,0.4185259938240051,0.9991638660430908,0.34136903285980225
6,0.9925961494445801,0.3178226947784424,0.9983277320861816,0.26035887002944946
7,0.9900883436203003,0.2528904676437378,0.9974916577339172,0.2044599950313568
8,0.9916408061981201,0.1983441710472107,0.9979097247123718,0.16164018213748932
9,0.9918796420097351,0.1651575118303299,0.9983277320861816,0.1301078349351883
10,0.9908048510551453,0.14288519322872162,0.9983277320861816,0.11035548150539398
11,0.9891330599784851,0.1250801831483841,0.9979097247123718,0.0949481725692749
12,0.9934320449829102,0.10453915596008301,0.9995819330215454,0.08028943091630936
13,0.9925961494445801,0.09151269495487213,0.9987457990646362,0.06656699627637863
14,0.9908048510551453,0.08553571254014969,0.9991638660430908,0.05907087400555611
15,0.993312656879425,0.07483094930648804,0.9995819330215454,0.051573771983385086
16,0.9924767017364502,0.07062015682458878,0.9995819330215454,0.0488349013030529
17,0.9919990301132202,0.06646332889795303,0.9991638660430908,0.042620949447155
18,0.9929543733596802,0.05984354391694069,0.9983277320861816,0.04094501957297325
19,0.9922378659248352,0.05725974962115288,0.9974916577339172,0.04186932370066643
20,0.9941485524177551,0.05216481164097786,0.9970735907554626,0.03758697584271431
21,0.9918796420097351,0.05247606709599495,0.9987457990646362,0.03422725200653076
22,0.9929543733596802,0.04897831752896309,0.9983277320861816,0.03167365863919258
23,0.993312656879425,0.04633725807070732,0.9987457990646362,0.02985096536576748
24,0.9919990301132202,0.047627124935388565,0.9991638660430908,0.028188323602080345
25,0.9939097166061401,0.04301993176341057,0.9991638660430908,0.027536150068044662
26,0.9931932091712952,0.046583179384469986,0.9995819330215454,0.024647625163197517
27,0.99402916431427,0.040685106068849564,0.9995819330215454,0.02340109646320343
28,0.9929543733596802,0.04259468615055084,0.9987457990646362,0.025744866579771042
29,0.9922378659248352,0.04532143846154213,0.9983277320861816,0.025901304557919502
30,0.9945068359375,0.041142042726278305,0.9995819330215454,0.022353747859597206
31,0.9924767017364502,0.044061556458473206,1.0,0.02255505695939064
32,0.993790328502655,0.03877413645386696,1.0,0.025345807895064354
33,0.993790328502655,0.03967845439910889,0.9991638660430908,0.021772226318717003
34,0.993312656879425,0.03876810520887375,1.0,0.021447282284498215
35,0.9930738210678101,0.04057983309030533,1.0,0.020886972546577454
36,0.9931932091712952,0.039466142654418945,0.9991638660430908,0.023585746064782143
37,0.9917601943016052,0.04381212592124939,0.9979097247123718,0.02518707700073719
38,0.9922378659248352,0.04278414696455002,0.9987457990646362,0.024026941508054733
39,0.9945068359375,0.03970281779766083,1.0,0.020954571664333344
40,0.994268000125885,0.036354273557662964,1.0,0.019400350749492645
41,0.9941485524177551,0.036464061588048935,1.0,0.01972329430282116
42,0.9929543733596802,0.04100760072469711,0.9987457990646362,0.021896297112107277
43,0.9928349852561951,0.04180949181318283,0.9987457990646362,0.022508779540657997
44,0.9945068359375,0.03461534529924393,1.0,0.01993260160088539
45,0.99355149269104,0.03875100240111351,1.0,0.019417347386479378
